idAcao,ticker,vencimento,diasUteis,tipo,strike,premioPct,volImplicita,delta,gamma,theta,vega,dataHora
ABEV3,ABEVA134,2026-01-16,15,CALL,0.0127,0.76,1.59,0.0009,0.0003,-0.0093,0.0005,18/12/2025
ABEV3,ABEVM134,2026-01-16,15,PUT,0.0127,0.09,2.44,0.0002,0.0003,-0.0052,0.0009,18/12/2025
ABEV3,ABEVA135W4,2026-01-23,20,CALL,0.0128,0.67,1.5,0.0008,0.0004,-0.0097,0.0011,12/12/2025
ABEV3,ABEVM135W4,2026-01-23,20,PUT,0.0128,0.12,2.53,0.0002,0.0002,-0.0046,0.0012,16/12/2025
ABEV3,ABEVA136,2026-01-16,15,CALL,0.0129,0.56,1.84,0.0008,0.0005,-0.0115,0.001,18/12/2025
ABEV3,ABEVM136,2026-01-16,15,PUT,0.0129,0.15,2.42,0.0003,0.0004,-0.0061,0.0011,18/12/2025
ABEV3,ABEVA139,2026-01-16,15,CALL,0.0132,0.42,1.82,0.0007,0.0006,-0.012,0.0012,18/12/2025
ABEV3,ABEVM139,2026-01-16,15,PUT,0.0132,0.24,2.38,0.0004,0.0005,-0.0063,0.0013,18/12/2025
ABEV3,ABEVM140W4,2026-01-23,20,PUT,0.0133,0.37,2.4,0.0004,0.0004,-0.0042,0.0018,12/12/2025
ABEV3,ABEVB140W2,2026-02-13,35,CALL,0.0133,0.62,1.98,0.0006,0.0003,-0.0104,0.002,18/12/2025
ABEV3,ABEVN140W2,2026-02-13,35,PUT,0.0133,0.68,3.6,0.0004,0.0002,-0.0057,0.0022,12/12/2025
ABEV3,ABEVA141,2026-01-16,15,CALL,0.0134,0.27,1.84,0.0005,0.0006,-0.0115,0.0013,18/12/2025
ABEV3,ABEVM141,2026-01-16,15,PUT,0.0134,0.35,2.42,0.0005,0.0005,-0.006,0.0013,18/12/2025
ABEV3,ABEVA143,2026-01-16,15,CALL,0.0137,0.16,1.93,0.0004,0.0006,-0.0102,0.0012,18/12/2025
ABEV3,ABEVM143,2026-01-16,15,PUT,0.0137,0.44,2.56,0.0006,0.0004,-0.0052,0.0013,18/12/2025
ABEV3,ABEVA146,2026-01-16,15,CALL,0.0139,0.1,1.95,0.0002,0.0005,-0.0082,0.001,18/12/2025
ABEV3,ABEVM146,2026-01-16,15,PUT,0.0139,0.64,2.61,0.0007,0.0004,-0.0033,0.0011,18/12/2025
ABEV3,ABEVA148,2026-01-16,15,CALL,0.0142,0.11,2.07,0.0001,0.0003,-0.006,0.0008,18/12/2025
ABEV3,ABEVM148,2026-01-16,15,PUT,0.0142,0.88,2.8,0.0008,0.0003,-0.002,0.001,18/12/2025
ABEV3,ABEVA151,2026-01-16,15,CALL,0.0144,0.04,2.21,0.0001,0.0002,-0.0049,0.0006,18/12/2025
ABEV3,ABEVM151,2026-01-16,15,PUT,0.0144,0.97,3.06,0.0008,0.0003,-0.0013,0.0009,18/12/2025
ABEV3,ABEVA153,2026-01-16,15,CALL,0.0147,0.03,2.23,0.0626,0.0002,-0.0034,0.0004,18/12/2025
ABEV3,ABEVM153,2026-01-16,15,PUT,0.0147,1.25,3.25,0.0008,0.0002,-0.0012,0.0009,18/12/2025
ABEV3,ABEVA156,2026-01-16,15,CALL,0.0149,0.02,2.61,0.0553,0.0001,-0.0035,0.0004,18/12/2025
ABEV3,ABEVM156,2026-01-16,15,PUT,0.0149,1.44,3.37,0.0008,0.0002,-0.0009,0.0009,18/12/2025
ABEV3,ABEVA158,2026-01-16,15,CALL,0.0152,0.02,2.5,0.0416,0.0978,-0.0027,0.0003,17/12/2025
ABEV3,ABEVM158,2026-01-16,15,PUT,0.0152,1.6,3.39,0.0008,0.0002,-0.0015,0.0011,16/12/2025
